"","sampleID","uniqueID","siteID","site","type","mesq_type","litterdepth","SWC","TOC","pH","BG","CB","NAG","PHOS","XYL","AG","LAP","DOC","MBC","DON","MBN","OM.","NH4i","NH4f","NO3i","NO3f","nminer","DNAconc.ng.µL","dna"
"66","E3bare",84,"E3","E","bare","bare",0,0.023874767,0.101,8.91,3.753297282,0.398350841,0.230603519,13.49007903,0.940430857,0.300842546,53.87895224,59.235,99.43333333,5.5855,2.725,0.266006479,1.056704885,1.184577417,2.311594254,2.027871445,-0.155850277,5.732,5.732
"67","E3cres",86,"E3","E","cres","cres",0,0.015386489,0.104,8.82,12.08266873,11.30641198,0.620628405,23.70347931,3.538817538,1.41070947,76.49250604,50.585,147.4333333,2.4055,6.975,0.256555739,1.413538564,1.43162518,1.851070918,1.522845883,-0.310138419,14.045,14.045
"68","E3grass",85,"E3","E","grass","grass",0,0.012392263,0.091,8.87,10.66839787,1.969812081,0.484648358,17.68111125,3.903144614,1.364058736,42.30312709,59.835,84.43333333,3.4205,5.891666667,0.253601984,1.109095824,1.210300818,1.208085608,0.951735735,-0.155144879,7.891,7.891
"69","E3mesq1-1BOLE",87,"E3","E","mesq","bole",0.4,0.006454597,NA,8.45,16.48011041,2.79093116,0.83874902,28.09884429,5.53908359,2.244907283,75.93012515,212.985,251.7666667,29.1055,25.26203704,NA,2.117266723,2.077344268,8.139751248,7.522394126,-0.657279577000001,22.804,22.804
"70","E3mesq1-1DRIP",89,"E3","E","mesq","drip",0.5,0.04326352,NA,8.82,6.434359079,6.053728865,0.442186964,17.27681267,1.916568093,0.769373922,71.8700285,84.935,182.5444444,7.4155,19.55833333,NA,1.269474314,1.436437784,5.050146873,4.513458791,-0.369724612000001,11.282,11.282
"71","E3mesq1-1MIDD",88,"E3","E","mesq","midd",0.7,0.010399468,0.371,8.65,12.57859749,2.517182785,0.587111278,25.00179913,5.132771171,1.672302204,62.21669244,135.085,124.1,16.4405,8.336111111,1.053468495,1.654191257,1.638977123,5.967402754,5.711656922,-0.270959965999999,15.663,15.663
"72","F1bare",9,"F1","F","bare","bare",0,0.003540338,0.114,6.33,34.15938875,6.000132274,8.620178291,74.2613231,6.898433765,4.315816977,33.02775755,56.31,101.8,16.895,24.35740741,0.422629198,2.266311255,2.654547384,20.59998849,19.35364034,-0.858112021000004,10.932,10.932
"73","F1grass",10,"F1","F","grass","grass",0,0.004395693,0.113,6.59,8.949294359,0.632113468,3.953107958,66.44217464,1.146426774,1.080300777,32.84965471,80.86,9.688888889,8.83,-7.772222222,0.414709336,3.158500916,2.904447582,0.92814336,1e-06,-1.182195694,8.265,8.265
"74","F1mesq1-1BOLE",11,"F1","F","mesq","bole",0.25,0.010955833,0.237,6.66,20.77035054,2.386014907,8.671558248,60.15670048,2.245231986,2.021635583,50.43271046,164.11,84.8,36.53,-0.762962963,0.900524356,10.42527689,8.902916635,7.995121134,7.480350642,-2.037130747,15.259,15.259
"75","F1mesq1-1DRIP",13,"F1","F","mesq","drip",0.7,0.0076882,0.201,6.93,21.92351758,2.069960842,4.033712957,29.2470099,3.715946317,1.162382741,101.6926966,159.21,202.1333333,22.56,27.89444444,0.754901224,7.133179415,6.952575143,1.916325341,0.723749785,-1.373179828,15.978,15.978
"76","F1mesq1-1MIDD",12,"F1","F","mesq","midd",2,0.008324096,0.229,6.63,14.52576633,1.002648736,6.347419179,64.25758274,2.181891738,1.452288154,37.08659966,125.86,111.4666667,32.91,16.61666667,0.875717017,19.01922279,19.13540383,4.568642688,4.114124321,-0.338337327000001,7.501,7.501
"77","F2bare",1,"F2","F","bare","bare",0,0.039670744,0.076,6.39,10.44806073,1.393537898,5.190595859,51.70839906,0.686393501,0.778629726,13.65319049,23.165,0.477777778,8.935,-6.716666667,0.293958382,4.236015993,3.868226767,7.050405287,5.678648262,-1.739546251,3.139,3.139
"78","F2grass",2,"F2","F","grass","grass",0.75,0.016864092,0.113,5.76,26.58194841,3.38086518,10.35073792,108.358606,3.428604035,1.566788714,3.354926799,33.165,15.34444444,6.11,-3.364814815,0.423999099,2.7957628,2.521203841,3.987027436,2.27195397,-1.989632425,3.982,3.982
"79","F2mesq1-2BOLE",3,"F2","F","mesq","bole",0.4,0.011993199,0.109,6.14,21.24685842,2.164164323,8.518922492,75.89777867,2.38519939,4.098221157,2.996322225,100.56,59.13333333,31.365,8.977777778,0.422873991,6.704092105,6.52256336,19.08093682,18.61145516,-0.651010405000005,9.558,9.558
"80","F2mesq1-2DRIP",5,"F2","F","mesq","drip",0.05,0.014432801,0.072,6.18,6.640142702,1.797200735,3.692264983,34.27649632,1.253247108,1.358528455,2.742311794,42.96,68.02222222,8.9,1.218518519,0.272180849,3.379786309,3.331146292,4.589987019,2.844374195,-1.794252841,6.054,6.054
"81","F2mesq1-2MIDD",4,"F2","F","mesq","midd",0.01,0.01131355,0.095,6,23.85203961,0.775667321,11.75555414,122.1127216,1.147866874,0.031268214,22.55898254,66.01,-7.977777778,22.015,-15.69814815,0.354742345,4.605184525,4.980411526,13.46060682,12.2232129,-0.862166919,5.342,5.342
"82","F2mesq2-2BOLE",6,"F2","F","mesq","bole",3,0.019107763,0.13,6.11,25.76657279,4.652669938,10.8887657,56.91004211,2.617149067,3.153786388,2.979522653,325.66,42.02222222,200.55,-15.53148148,0.490399487,27.46300563,26.08774212,76.00418258,75.48633314,-1.89311295,5.64,5.64
"83","F2mesq2-2DRIP",8,"F2","F","mesq","drip",0.25,0.006717357,0.088,6.12,16.55892341,3.808281581,5.027386834,47.75602671,2.369337675,1.330100409,4.638128295,75.01,90.91111111,14.01,9.32037037,0.342212716,5.596400676,5.16813281,5.531611571,3.637985811,-2.321893626,6.364,6.364
"84","F2mesq2-2MIDD",7,"F2","F","mesq","midd",0.25,0.02954445,0.104,5.89,26.71921268,3.702093855,12.68040262,127.6027547,8.871423141,2.015260088,23.38112244,53.66,101.4666667,16.205,9.922222222,0.385942777,6.843280408,9.821037124,6.355337949,5.961511425,2.583930192,6.57,6.57
"85","G1bare",60,"G1","G","bare","bare",0,0.060784501,0.146,5.98,3.87045099,1e-08,5.200834441,61.04526358,1e-08,1e-08,23.04879512,50.895,46.47777778,9.659,10.77314815,0.564775057,5.314619359,5.579910618,11.60373889,11.90286566,0.564418028999999,3.895,3.895
"86","G1grass",61,"G1","G","grass","grass",0.1,0.041805812,0.112,6.55,38.18168302,5.014375512,17.46713121,126.2318752,10.41991255,2.25154547,31.03805729,43.245,41.92222222,2.579,9.578703704,0.441292356,2.19778641,2.345548812,1.664769582,1.399504099,-0.117503081,5.511,5.511
"87","G1mesq1-1BOLE",62,"G1","G","mesq","bole",1.005,0.024027812,0.231,5.35,51.54041348,5.23234566,18.64821766,154.6198933,10.56761522,8.236672207,4.019448031,190.895,-13.18888889,40.959,23.99537037,0.843127236,15.50555996,16.42276285,24.09860586,25.50150475,2.32010178,5.309,5.309
"88","G1mesq1-1DRIP",64,"G1","G","mesq","drip",3,0.037927173,0.097,6.5,70.54717051,9.406813537,27.24463797,178.1379114,7.292585005,4.912120287,46.90564497,37.445,71.81111111,5.504,16.13425926,0.364387678,0.971195248,1.443938818,6.854193249,6.541535187,0.160085508000001,8.972,8.972
"89","G1mesq1-1MIDD",63,"G1","G","mesq","midd",0.85,0.048874894,0.112,6,23.16246721,3.728188398,6.089767429,63.80762558,2.991549067,0.348313821,5.829819909,104.345,362.1444444,9.689,23.26388889,0.418441306,1.018106876,1.40134313,10.42672001,12.27136007,2.227876314,9.025,9.025
"90","G2bare",55,"G2","G","bare","bare",0.125,0.015724353,0.09,6.5,5.993494899,0.090274846,3.721175978,59.67552654,0.63130316,0.29466332,18.14566159,28.945,27.92222222,5.139,5.939814815,0.559040934,7.201338578,7.745544876,1.804477254,1.109309787,-0.150961168999999,4.415,4.415
"91","G2grass",56,"G2","G","grass","grass",0,0.020304207,0.078,6.31,45.27865256,5.349262755,5.242855321,86.75813705,4.883730229,3.034901054,22.94273746,16.585,81.16666667,NA,17.53240741,0.480354723,1.245412213,1.406336264,1.528695559,1.222361624,-0.145409884,8.643,8.643
"92","G2mesq1-1BOLE",57,"G2","G","mesq","bole",0.375,0.009745211,0.105,5.66,30.68675637,4.242093266,21.11630686,148.9573639,2.378374152,2.831711234,4.736586905,93.895,7.922222222,12.699,18.39351852,0.644329897,9.032951705,8.752399502,5.199070208,4.367806441,-1.11181597,7.479,7.479
"93","G2mesq1-1DRIP",59,"G2","G","mesq","drip",0.025,0.017317691,0.08,6.01,11.01438783,0.465375173,8.910511709,75.34558579,0.050526361,1e-08,2.960507927,27.825,54.63333333,1.839,16.375,0.486470052,1.659388205,1.618949332,4.593751588,3.96840863,-0.665781831,5.108,5.108
"94","G2mesq1-1MIDD",58,"G2","G","mesq","midd",0,0.017516279,0.091,6.47,25.91485151,7.58836264,18.76278219,83.15344632,7.885906356,9.131181907,26.34286102,31.395,58.36666667,2.834,7.893518519,0.556574924,3.166126555,3.276313339,2.10472584,1.989114139,-0.00542491700000003,4.387,4.387
